Title,Year,Architects,Product,Category,Image
Funchal 05 House / Paulo David + Luz Ramalho,2009,"Luz Ramalho, Paulo David",Concrete,Houses,https://images.adsttc.com/media/images/5011/59e1/28ba/0d70/4200/03a8/newsletter/stringio.jpg?1361408773
Linked Hybrid / Steven Holl Architects,2009,Steven Holl Architects,Concrete,Apartments,https://images.adsttc.com/media/images/5011/612d/28ba/0d70/4200/05c4/newsletter/stringio.jpg?1414471142
Wooden Forest Apartment / Ikeda Yukie Ono Toshiharu Architects,2009,"Ikeda Yukie Architects / Ikeda Yukie, Ohno Toshiharu",Concrete,Apartments,https://images.adsttc.com/media/images/5011/6f4b/28ba/0d70/4200/0990/newsletter/stringio.jpg?1414472108
Gassul House / SO Architecture,2009,SO Architecture,Concrete,Houses,https://images.adsttc.com/media/images/5011/6aca/28ba/0d70/4200/0867/newsletter/stringio.jpg?1414074511
Stadsdeelkantoor Zuideramstel / Claus en Kaan Architekten,2009,Claus en Kaan Architekten/ Felix Claus & Jaap Gr?ßber,Concrete,Offices,https://images.adsttc.com/media/images/5011/75fc/28ba/0d70/4200/0b28/newsletter/stringio.jpg?1414347023
Songzhuang Artist Residence / DnA,2009,Dn,Concrete,Houses,https://images.adsttc.com/media/images/5011/70d0/28ba/0d70/4200/0a02/newsletter/stringio.jpg?1414046358
McCarthy Residence / Stanley Saitowitz | Natoma Architects,2009,Stanley Saitowitz | Natoma Architects,Concrete,Others,https://images.adsttc.com/media/images/5011/8abd/28ba/0d70/4200/1048/newsletter/stringio.jpg?1414278955
City Sports Hall / AG Planum,2009,AG Planum,Concrete,Others,https://images.adsttc.com/media/images/5011/8a3a/28ba/0d70/4200/1028/newsletter/stringio.jpg?1414472618
AMD's Lone Star Campus / TBG Partners,2009,TBG Partners,Concrete,Others,https://images.adsttc.com/media/images/5011/90b3/28ba/0d70/4200/11b6/newsletter/stringio.jpg?1414473034
Pile ou Face Houses / TANK Architectes,2009,TANK Architectes / Olivier Camus & Lyd?©ric Veauvy,Concrete,Houses,https://images.adsttc.com/media/images/5011/9109/28ba/0d70/4200/11cf/newsletter/stringio.jpg?1361423148
Alila Cha am / Duangrit Bunnag Architects,2009,Duangrit Bunnag Architect Limited - DBALP,Concrete,Others,https://images.adsttc.com/media/images/5011/8ebe/28ba/0d70/4200/113f/newsletter/stringio.jpg?1414083856
Mernda Education Suite / Supple Design,2009,Supple Design,Concrete,Others,https://images.adsttc.com/media/images/5011/8d9d/28ba/0d70/4200/10fd/newsletter/stringio.jpg?1361423105
House of Music / Coop Himmelb(l)au,2009,Coop Himmelb(l)au,Concrete,Others,https://images.adsttc.com/media/images/5011/8fd7/28ba/0d70/4200/1177/newsletter/stringio.jpg?1414472998
La Minoterie / TANK Architectes,2009,TANK Architectes / Olivier Camus & Lyd?©ric Veauvy,Concrete,Others,https://images.adsttc.com/media/images/5011/e048/28ba/0d5f/4c00/010a/newsletter/stringio.jpg?1414019320
Esseker Center / Produkcija 004,2009,Produkcija 004Location,Concrete,Offices,https://images.adsttc.com/media/images/5011/94ae/28ba/0d70/4200/12b0/newsletter/stringio.jpg?1414279234
House in Foz / Sergio Koch,2009,Sergio Koch,Concrete,Houses,https://images.adsttc.com/media/images/5011/dd73/28ba/0d5f/4c00/0020/newsletter/stringio.jpg?1414019889
Remington Court / HyBrid Architecture,2009,Hy,Concrete,Apartments,https://images.adsttc.com/media/images/5011/696c/28ba/0d70/4200/0800/newsletter/stringio.jpg?1414222346
Pearl Academy of Fashion / Morphogenesis,2009,Morphogenesis,Concrete,Others,https://images.adsttc.com/media/images/5011/e982/28ba/0d5f/4c00/03ce/newsletter/stringio.jpg?1414473798
The Met / WOHA,2009,WOHA,Concrete,Offices,https://images.adsttc.com/media/images/5011/e5ec/28ba/0d5f/4c00/02ba/medium_jpg/stringio.jpg?1414280456
Primo Estate Winery / Michael Edward Harvey,2009,Michael Edward Harvey,Concrete,Others,https://images.adsttc.com/media/images/5011/e51d/28ba/0d5f/4c00/027b/newsletter/stringio.jpg?1414280417
Senior Citizens Residence Altenmarkt / Kadawittfeldarchitektur,2009,Kadawittfeldarchitektur,Concrete,Houses,https://images.adsttc.com/media/images/5011/e3f5/28ba/0d5f/4c00/0223/newsletter/stringio.jpg?1414101335
Penthouse / Studio Pietropoli,2009,Studio Pietropoli,Concrete,Others,https://images.adsttc.com/media/images/5011/e162/28ba/0d5f/4c00/0167/newsletter/stringio.jpg?1414077144
Cocoon / Camenzind Evolution,2009,Camenzind Evolution,Concrete,Offices,https://images.adsttc.com/media/images/5011/ee7a/28ba/0d5f/4c00/0514/newsletter/stringio.jpg?1414474285
Spa Golfer Hotel / Studio Sangrad,2009,Sangrad d.o.o.Location,Concrete,Others,https://images.adsttc.com/media/images/5011/e7f9/28ba/0d5f/4c00/035a/newsletter/stringio.jpg?1414280527
Wide Open Villa / KLab architecture,2009,K,Concrete,Houses,https://images.adsttc.com/media/images/5011/e822/28ba/0d5f/4c00/0368/medium_jpg/stringio.jpg?1414012284
Waterfall House / Andres Remy Arquitectos,2009,Andres Remy Arquitectos,Concrete,Houses,https://images.adsttc.com/media/images/5011/f646/28ba/0d5f/4c00/071c/newsletter/stringio.jpg?1414039480
Lofts @ Cherokee Studios / Pugh + Scarpa,2009,Pugh + Scarpa,Concrete,Others,https://images.adsttc.com/media/images/5011/f595/28ba/0d5f/4c00/06ef/newsletter/stringio.jpg?1361409379
Open  / Superpool,2009,Superpool,Concrete,Others,https://images.adsttc.com/media/images/5011/f255/28ba/0d5f/4c00/060e/newsletter/stringio.jpg?1414054940
Offices Loft F27 / Schlosser + Partner,2009,Schlosser + Partner,Concrete,Others,https://images.adsttc.com/media/images/5012/002e/28ba/0d55/8100/00d4/newsletter/stringio.jpg?1414086135
KBcenter and Qubik bar / Waltritsch a+u,2009,Waltritsch a+u,Concrete,Others,https://images.adsttc.com/media/images/5011/ff90/28ba/0d55/8100/00a3/medium_jpg/stringio.jpg?1414480178
"Green Lighthouse, Carbon Neutral Faculty building / Christensen & Co Arkitekter",2009,Christensen & Co Architects,Concrete,Others,https://images.adsttc.com/media/images/5012/0a24/28ba/0d55/8100/031a/newsletter/stringio.jpg?1414055245
Apartment Fandl / Schlosser + Partner,2009,Schlosser + Partner,Concrete,Others,https://images.adsttc.com/media/images/5012/0968/28ba/0d55/8100/02f1/newsletter/stringio.jpg?1361423577
Ingleside Branch  / Fougeron Architecture,2009,Fougeron Architecture,Concrete,Others,https://images.adsttc.com/media/images/5012/12fd/28ba/0d55/8100/04dd/medium_jpg/stringio.jpg?1414223181
Roy McMurtry Youth Centre / Kleinfeldt Mychajlowycz Architects,2009,Kleinfeldt Mychajlowycz Architects,Concrete,Others,https://images.adsttc.com/media/images/5012/1109/28ba/0d55/8100/047a/newsletter/stringio.jpg?1414483280
M&M House / XPIRAL,2010,XPIRAL,Concrete,Houses,https://images.adsttc.com/media/images/5008/59d8/28ba/0d50/da00/0106/newsletter/stringio.jpg?1361399127
Casa Kimball / Rangr Studio,2010,Rangr Studio,Concrete,Houses,https://images.adsttc.com/media/images/5008/5759/28ba/0d50/da00/0051/newsletter/stringio.jpg?1419161218
House Vvg / Grosfeld van der Velde Architecten,2010,Grosfeld van der Velde Architecten,Concrete,Houses,https://images.adsttc.com/media/images/5008/5712/28ba/0d50/da00/0034/newsletter/stringio.jpg?1414592202
Fuglsang Cuts / CEBRA,2009,CEBRA,Concrete,Houses,https://images.adsttc.com/media/images/5012/1f5f/28ba/0d55/8100/0754/newsletter/stringio.jpg?1414223453
Villa Bussum / GROUP A,2010,GROUP A,Concrete,Houses,https://images.adsttc.com/media/images/5008/61c3/28ba/0d50/da00/036a/newsletter/stringio.jpg?1423121988
Villa N / Audrius Ambrasas Architects,2010,Audrius Ambrasas Architects,Concrete,Houses,https://images.adsttc.com/media/images/5012/230a/28ba/0d33/b200/00ae/newsletter/stringio.jpg?1419442206
Euromax / KOW,2010,KOW,Concrete,Offices,https://images.adsttc.com/media/images/5012/23f9/28ba/0d33/b200/00e9/newsletter/stringio.jpg?1414223964
Zivilschutzzentrum / AllesWirdGut Architektur,2010,Alles,Concrete,Others,https://images.adsttc.com/media/images/5008/67e4/28ba/0d50/da00/0548/newsletter/stringio.jpg?1414421553
Chemist's shop in the town wood / Atelier st,2010,Atelier st,Concrete,Others,https://images.adsttc.com/media/images/5012/2912/28ba/0d33/b200/0223/newsletter/stringio.jpg?1414066694
City of Arts Ateliers / Lucio Morini,2010,Lucio Morini,Concrete,Others,https://images.adsttc.com/media/images/5012/2bf6/28ba/0d33/b200/02ee/newsletter/stringio.jpg?1413998582
Ross Street House / RWH Design,2010,RWH Design,Concrete,Houses,https://images.adsttc.com/media/images/5008/6ce3/28ba/0d50/da00/06c8/newsletter/stringio.jpg?1414454404
Anansi Playground Building / Mulders vandenBerk Architecten,2010,Mulders vanden,Concrete,Others,https://images.adsttc.com/media/images/5008/7aa4/28ba/0d50/da00/0a85/newsletter/stringio.jpg?1375407849
Villa Saitan / EASTERN Design Offices,2010,EASTERN Design Offices,Concrete,Apartments,https://images.adsttc.com/media/images/5008/7486/28ba/0d50/da00/08ea/newsletter/stringio.jpg?1414372611
Usuki House / Architect Associates Tonoma,2010,Architect Associates Tonoma,Concrete,Houses,https://images.adsttc.com/media/images/5008/826b/28ba/0d50/da00/0cad/newsletter/stringio.jpg?1414454916
Cesena Building / Tisselli Studio Architetti,2010,Tisselli Studio Architetti,Concrete,Others,https://images.adsttc.com/media/images/5012/3093/28ba/0d3d/ae00/00f3/newsletter/stringio.jpg?1361424290
Echo House / Kariouk Associates,2010,Kariouk Associates,Concrete,Houses,https://images.adsttc.com/media/images/5008/7d42/28ba/0d50/da00/0b3f/newsletter/stringio.jpg?1414373207
Dogan Media Center / Tabanlioglu Architects,2010,TabanlÉ±oÉ¸lu  MimarlÉ±k / Melkan G?∫rsel & Murat TabanlÉ±oÉ¸lu,Concrete,Offices,https://images.adsttc.com/media/images/5012/2f44/28ba/0d3d/ae00/008e/newsletter/stringio.jpg?1414047912
Green Water Sports Station / Peter Kuczia,2010,Peter Kuczia,Concrete,Others,https://images.adsttc.com/media/images/5012/3213/28ba/0d3d/ae00/0164/newsletter/stringio.jpg?1414484576
Condominio P / C+C04STUDIO,2010,C+C04STUDIO & Francesco Atzeri Engineer,Concrete,Apartments,https://images.adsttc.com/media/images/5008/8636/28ba/0d50/da00/0dab/newsletter/stringio.jpg?1414373572
LE 308 / FABRE/deMARIEN architectes,2010,FABRE/de,Concrete,Renovation,https://images.adsttc.com/media/images/5008/8f13/28ba/0d50/da00/0fd8/medium_jpg/stringio.jpg?1414374557
